"BEDEUTUNG","INFINITIV","Präsens","Präteritum","Perfekt","  "
"aclarar","abspülen","spült ab","spülte ab","hat abgespült",""
"atención","achten (auf)","achte","achtete","hat geachtet",""
"sospechar","ahnen","ahnt","ahnte","hat geahnt",""
"ofrecer","anbieten","bietet an","bot an","hat angeboten",""
"cambiar","ändern (sich)","ändert","änderte","hat geändert",""
"empezar","anfangen","fängt an","fing an","hat angefangen",""
"venir","ankommen","kommt an","kam an","ist angekommen",""
"llamar teléfono","anrufen","ruft an","rief an","hat angerufen",""
"tocar","antasten","tastet an","tastete an","hat angetastet",""
"responder","antworten","antwortet","antwortete","hat geantwortet",""
"aplicar","anwenden","wendet an","wandte an","hat angewandt",""
"vestir","anziehen (sich)","zieht an","zog an","hat angezogen",""
"trabajar","arbeiten","arbeitet","arbeitete","hat gearbeitet",""
"molestar","ärgern (sich)","ärgert","ärgerte","hat geärgert",""
"concertar","arrangieren","arrangiert","arrangierte","hat arrangiert",""
"respirar","atmen","atmet","atmete","hat geatmet",""
"limpiar, ordenar","aufräumen","räumt auf","räumte auf","hat aufgeräumt",""
"alterar","aufregen (sich)","regt auf","regte auf","hat aufgeregt",""
"despertar","aufwachen","wacht auf","wachte auf","ist aufgewacht",""
"rellenar","ausfüllen","füllt aus","füllte aus","hat ausgefüllt",""
"gastar, emitir","ausgeben","gibt aus","gab aus","hat ausgegeben",""
"airearse","auslüften","lüftet aus","lüftete aus","hat ausgelüftet",""
"equipar","ausrüsten","rüstet aus","rüstete aus","hat ausgerüstet",""
"parecer","aussehen","sieht aus","sah aus","hat ausgesehen",""
"bajar","aussteigen","steigt aus","stieg aus","ist ausgestiegen",""
"intercambiar","austauschen","tauscht aus","tauschte aus","hat ausgetauscht",""
"hornear","backen","bäckt","buk","hat gebacken",""
"bañar","baden (sich)","badet","badete","hat gebadet",""
"crear manual","basteln","bastelt","bastelte","hat gebastelt",""
"construir","bauen","baut","baute","hat gebaut",""
"darse prisa","beeilen (sich)","beeilt","beeilte","hat beeilt",""
"acabar","beenden","beendet","beendete","hat beendet",""
"mandar","befehlen (dat)","befielht","befahl","hat befohlen",""
"fijar, sujetar","befestigen","befestigt","befestigte","hat befestigt",""
"encontrar, enfrentar","begegnen","begegnet","begegnete","ist begegnet",""
"cometer, perpetrar","begehen","begeht","beging","hat begangen",""
"comenzar","beginnen","beginnt","begann","hat begonnen",""
"acompañar, guiar","begleiten","begleitet","begleitete","hat begleitet",""
"mantener, retener","behalten","bahält","behielt","hat behalten",""
"tratar, manejar","behandeln (sich)","behandelt","behandelte","hat behandelt",""
"morder, picar","beißen","beißt","biss","hat gebissen",""
"recibir, conseguir","bekommen","bekommt","bekam","hat bekommen",""
"ladrar","bellen","bellt","bellte","hat gebellt",""
"recompensar","belohnen (akk)","belohnt","belohnte","hat belohnt",""
"obserbar, notar ","bemerken","bemerkt","bemerkte","hat bemerkt",""
"envidiar","beneiden (akk)","beneidet","beneidete","hat beneidet",""
"usar, emplear","benutzen","benutzt","benutzte","hat benutzt",""
"ocupado mismo","beschätfigen (sich, mit)","beschäftigt","beschäftigte","hat beschäftigt",""
"describir","beschreiben (akk)","beschreibt","beschrieb","hat beschrieben",""
"visitar, inspeccionar","besichtigen (akk)","besichtigt","besichtigte","hat besichtigt",""
"derrotar","besiegen","besiegt","besiegte","hat besiegt",""
"recordar, reflexionar","sich besinnen","bessinnt","besann","hat besonnen",""
"pedir, solicitar","bestellen","bestellt","bestellte","hat bestellt",""
"decidir, determinar","bestimmen","bestimmt","bestimmte","hat bestimmt",""
"visitar, asistir","besuchen (akk)","besucht","besuchte","hat besucht",""
"orar, rezar","beten (um)","betet","betete","hat gebetet",""
"hacer trampas, estafar","betrügen","betrügt","betrog","hat betrogen",""
"rogar, suplicar","betteln (um)","bettelt","bettelte","hat gebettelt",""
"doblar, inclinar","beugen (sich)","beugt","beugte","hat gebeugt",""
"juzgar, evaluar","beurteilen (akk)","beurteilt","beurteilte","hat beurteilt",""
"mover, desplazar","bewegen (sich)","bewegt","bewegte","hat bewegt",""
"inducir ","bewegen","bewegt","bewog","hat bewogen",""
"demostrar, probar","beweisen","beweist","bewies","hat bewiesen",""
"pagar","bezahlen (akk)","bezahlt","bezahlte","hat bezahlt",""
"ofrecer","bieten (dat)","bietet ","bot","hat geboten",""
"dar forma, modelar","bilden","bildet","bildete","hat gebildet",""
"atar, unir","binden","bindet","band","hat gebunden",""
"pedir, solicitar","bitten (akk/ihn/um)","bittet","bat","hat gebeten",""
"soplar","blasen","bläst","blies","hat geblasen",""
"permanecer","bleiben","bleibt","blieb","ist geblieben",""
"destellar","blitzen","blitzt","blitzte","hat geblitzt",""
"florecer, prosperar","blühen","blüht","blühte","hat geblüht",""
"prestar","borgen (akk/sich)","borgt","borgte","hat geborgt",""
"freír, asar","braten","brät","briet","hat gebraten",""
"necesitar","brauchen","braucht","brauchte","hat gebraucht",""
"romper, vomitar","brechen","bricht","brach","hat gebrochen",""
"quemar","brennen","brennt","brannte","hat gebrannt",""
"traer","bringen","bringt","brachte","hat gebracht",""
"agradecer","danken (dat)","dankt","dankte","hat gedankt",""
"representar","darstellen (akk)","stellt dar","stellte dar","hat dargestellt",""
"duar","dauern","dauert","dauerte","hat gedauert",""
"cubrir, poner la mesa","decken","deckt","deckte","hat gedeckt",""
"pensar","denken (akk/an)","denkt","dachte","hat gedacht",""
"hacer poesía","dichten","dichtet","dichtet","hat gedichtet",""
"servir","dienen (dat)","dient","diente","hat gedient",""
"tronar","donnern","donnert","donnerte","hat gedonnert",""
"instar, insistir","drängen","drängt","drängte","hat gedrängt",""
"penetrar","dringen","dringt","drang","hat gedrungen",""
"amenazar","drohen (mit)","droht","drohte","hat gedroht",""
"imprimr","drucken","druckt","druckte","hat gedruckt",""
"pulsar, oprimir","drücken","drückt","drückte","hat gedrückt",""
"tolerar, soportar","dulden (akk)","duldet","duldete","hat geduldet",""
"estár permitido","dürfen","darf","durfte ","hat gedurft",""
"tutear","duzen","duzt","duzte","hat geduzt",""
"invadir, ocurrir","einfallen","fällt ein","fiel ein","ist eingefallen",""
"invitar","einladen (akk/zum)","lädt ein","lud ein","hat eingeladen",""
"quedarse dormido","einschlafen","schläft ein","schlief ein","ist eingeschlafen",""
"subirse (auto)","einsteigen","steigt ein","stieg ein","ist eingestiegen",""
"descubrir ","entdecken","entdeckt","entdeckte","hat entdeckt",""
"quitar, eliminar","entfernen","entfernt","entfernte","hat entfernt",""
"escapar, huir","entfliehen","entflieht","entfloh","ist entflohen",""
"alejarse, extrañarse","entfremden (sich)","entfremdet","entfremdete","hat enfremdet",""
"decapitar","enthaupten (akk)","enthauptet","enthauptete","hat enthauptet",""
"indignarse","entrüsten (sich)","entrüstet","entrüstete","hat entrüstet",""
"decidirse","entscheiden (sich)","entscheidet","entschied","hat entschieden",""
"disculparse","entschuldigen (sich)","entschuldigt","entschuldigte","hat entschuldigt",""
"relajarse","entspannen (sich)","entspannt","entspannte","hat entspannt",""
"desarrollarse","entwickeln (sich)","entwickelt","entwickelte","hat entwickelt",""
"heredar","erben","erbt","erbte","hat geerbt",""
"inventar","erfinden","erfindet","erfand","hat erfunden",""
"refrescarse","erfrischen (sich)","erfrischt","erfrischte","hat erfrischt",""
"completar","ergänzen","ergänzt","ergänzte","hat ergänzt",""
"recordarse","erinnern (sich/an)","erinnert","erinnerte","hat erinnert",""
"resfriarse","erkälten (sich)","erkältet","erkältete","hat erkältet",""
"explicar, declarar","erklären","erklärt","erklärte","hat erklärt",""
"permitir, dejar","erlauben (dat)","erlaubt","erlaubte","hat erlaubt",""
"concluir, resolver","erledigen","erledigt","erledigte","hat erledigt",""
"facilitar","erleichtern","erleichtert","erleichterte","hat erlecihtert",""
"alimentarse","ernähren (sich)","ernährt","ernährte","hat ernährt",""
"abrir, inaugurar","eröffnen","eröffnet","eröffnete","hat eröffnet",""
"sonrojarse","erröten","errötet","errötete","ist errötet",""
"aparecer","erscheinen","erscheint","erschien","ist erschienen",""
"agotar","erschöpfen","erschöpft","erschöpfte","hat erschöpft",""
"asustarse","erschrecken (akk)","erschrickt","erschrak","ist erschrocken",""
"aguantar, sufrir","ertragen","erträgt","ertrug","hat ertragen",""
"ahogar","ertrinken (akk)","ertrinkt","ertrank","ist ertrunken",""
"esperar, expectar","erwarten","erwartet","erwartete","hat erwartet",""
"contar, relatar","erzählen","erzählt","erzählte","hat erzählt",""
"criar, educar","erziehen","erzieht","erzog","hat erzogen",""
"comer","essen","isst","aß","hat gegessen",""
"conducir, viajar","fahren","fährt","fuhr","ist gefahren",""
"caer","fallen","fällt","fiel","ist gefallen",""
"plegar","falten","faltet","faltete","hat gefaltet",""
"capturar","fangen","fängt","fing","hat gefangen",""
"teñir, colorear","färben","färbt","färbte","hat gefärbt",""
"creer, tomar","fassen","fasst","fasste","hat gefasst",""
"ayunar","fasten (aus)","fastet","fastete","hat gefastet",""
"esgrimir (depor)","fechten","ficht","focht","hat gefochten",""
"faltar, extrañar","fehlen","fehlt","fehlte","hat gefehlt",""
"celebrar","feiern","feiert","feierte","hat gefeiert",""
"determinar, establecer","feststellen","stellt fest","stellte fest","hat festgestellt",""
"encontrar","finden (akk)","findet","fand","hat gefunden",""
"gruñir","fletschen","fletscht","fletschte","hat gefletscht",""
"volar","fliegen","fliegt","flog ","ist geflogen",""
"escapar, huir","fliehen","flieht","floh","ist geflohen",""
"fluir, circular","fließen","fließt","floss","ist geflossen",""
"maldecir, palabrotar","fluchen","flucht","fluchte","hat geflucht",""
"escapar, huir","flüchten","flüchtet","flüchtete","ist geflüchtet",""
"susurrar","flüstern","flüstert","flüsterte","hat geflüstert",""
"seguir","folgen","folgt","folgte","ist/hat gefolgt",""
"exigir, pedir","fordern","fordert","forderte","hat gefordert",""
"promover","fördern (akk)","fördert","förderte","hat gefördert",""
"investigar","forschen (nach) (dat)","forscht","forschte","hat geforscht",""
"continuar, resumir","fortsetzen","setzt fort","setzte fort","hat fortgesetz",""
"preguntar","fragen (akk)","fragt","fragte","hat gefragt",""
"devorar, alimentar animales","fressen","frisst","fraß","hat gefressen",""
"alegrarse","freuen (sich)","freut","freute","hat gefreut",""
"congelar","frieren","friert","fror","hat gefroren",""
"desayunar","frühstücken","frühstückt","frühstückte","hat gefrühstückt",""
"sentir","fühlen (sich)","fühlt","fühlte","hat gefühlt",""
"llevar, conducir","führen","führt","führte","hat geführt",""
"alimentar","füttern (dat/akk)","füttert","fütterte","hat gefürttert",""
"bostezar","gähnen","gähnt","gähnte","hat gegähnt",""
"parir","gebären","gebärt","gebar","hat geboren",""
"dar","geben","gibt","gab","hat gegeben",""
"usar","gebrauchen","gebraucht","gebrauchte","hat gebraucht",""
"gustar","gefallen (dat)","gefällt","gefiel","hat gefallen",""
"ir","gehen","geht","ging","ist gegangen",""
"obedecer","gehorchen (dat)","gehorcht","gehorchte","hat gehorcht",""
"pertencer","gehören (dat)","gehört","gehörte","hat gehört",""
"lograr, conseguir","gelingen (akk dat)","gelingt","gelang","ist gelungen",""
"ser válido","gelten","gilt","galt","hat gegolten",""
"recuperar","genesen","genest","genas","ist genesen",""
"disfrutar","genießen","genießt","genoss","hat genossen",""
"satisfacer","genügen","genügt","genügte","hat genügt",""
"suceder","geschehen","geschieht","geschah","ist geschehen",""
"diseñar","gestalten","gestaltet","gestaltete","hat gestaltet",""
"permitir, autorizar","gestatten","gestattet","gestattete","hat gestattet",""
"admitir, confesar","gestehen","gesteht","gestand","hat gestanden",""
"ganar","gewinnen","gewinnt","gewann","hat gewonnen",""
"acostumbrarse","gewöhnen (sich)","gewöhnt","gewöhnte","hat gewöhnt",""
"regar","gießen","gießt","goss","hat gegossen",""
"destacar","glänzen","glänzt","glänzte","hat geglänzt",""
"creer","glauben","glaubt","glaubte","hat geglaubt",""
"igualar, parecer","gleichen","gleicht","glich","hat geglichen",""
"cavar","graben","gräbt","grub","hat gegraben",""
"temer","grauen","graut","graute","hat gegraut",""
"agarrar","greifen","greift","griff","hat gegriffen",""
"fundar","gründen","gründet","gründete","hat gegründet",""
"gruñir","grunzen","grunzt","grunzte","hat gegrunzt",""
"saludar","grüßen","grüßt","grüßte","hat gegrüßt",""
"mirar","gucken","guckt","guckte","hat geguckt",""
"tener","haben","hat","hatte","hat gehabt",""
"mantener, sostener","halten","hält","hielt","hat gehalten",""
"martillar","hämmern","hämmert","hämmerte","hat gehämmert",""
"colgar","hängen","hängt","hing","hat gehangen",""
"odiar","hassen","hasst","hasste","hat gehasst",""
"pegar","hauen","haut","hieb","hat gehauen",""
"levantar","heben","hebt","hob","hat gehoben",""
"curar","heilen","heilt","heilte","hat geheilt",""
"casandose","heiraten","heiratet","heiratete","hat geheiratet",""
"llamar","heißen","heißt","hieß","hat geheißen",""
"calentar","heizen","heizt","heizte","hat geheizt",""
"ayudar","helfen","hilft","half","hat geholfen",""
"gobernar","herrschen","herrscht","herrschte","hat geherrscht",""
"llorar","heulen","heult","heulte","hat geheult",""
"cojear","hinken","hinkt","hinkte","ist gehinkt",""
"añadir","hinzufügen","fügt hinzu","fügte hinzu","hat hinzugefügt",""
"agacharse","hocken","hockt","hockte","hat gehockt",""
"to hope","hoffen","hofft","hoffte","hat gehofft",""
"obtener, conseguir","holen","holt","holte","hat geholt",""
"escuchar atentamente","horchen","horcht","horchte","hat gehorcht",""
"escuchar","hören","hört","hörte","hat gehört",""
"toser","husten","hustet","hustete","hat gehustet",""
"cazar, perseguir","jagen","jagt","jagte","hat gejagt",""
"animar","jubeln","jubelt","jubelte","hat gejubelt",""
"picar","jucken","juckt","juckte","hat gejuckt",""
"peinarse","kämmen (sich)","kämmt","kämmte","hat gekämmt",""
"luchar","kämpfen","kämpft","kämpfte","hat gekämpft",""
"masticar","kauen","kaut","kaute","hat gekaut",""
"acurrucarse","kauern","kauert","kauerte","ist gekauert",""
"comprar","kaufen","kauft","kaufte","hat gekauft",""
"barrer","kehren","kehrt","kehrte","hat gekehrt",""
"conocer","kennen","kennt","kannte","hat gekannt",""
"inclinar, volcar","kippen","kippt","kippte","hat gekippt",""
"quejar","klagen","klagt","klagte","hat geklagt",""
"salir bien","klappen","klappt","klappte","hat geklappt",""
"aplaudir","klatschen","klatscht","klatschte","hat geklatscht",""
"encolar, pegar","kleben","klebt","klebte","hat geklebt",""
"vestirse","kleiden (sich)","kleidet","kleidete","hat gekleidet",""
"escalar","klettern","klettert","kletterte","ist geklettert",""
"timbrar","klingeln","klingelt","klingelte","hat geklingelt",""
"sonar","klingen","klingt","klang","hat geklungen",""
"llamar puerta","klopfen","klopft","klopfte","hat geklopft",""
"vincular, unir","knüpfen","knüpft","knüpfte","hat geknüpft",""
"cocinar","kochen","kocht","kochte","hat gekocht",""
"venir","kommen","kommt","kam","ist gekommen",""
"poder","können","kann","konnte","hat gekonnt",""
"costar","kosten","kostet","kostete","hat gekostet",""
"graznar","krächzen","krächzt","krächzte","hat gekrächzt",""
"enfermar","kränkeln","kränkelt","kränkelte","hat gekränkelt",""
"rascar","kratzen (sich)","kratzt","kratzte","hat gekratzt",""
"gatear, arrastrarse","kriechen","kriecht","kroch","ist gekrochen",""
"conseguir, obtener","kriegen","kriegt","kriegte","hat gekriegt",""
"garabatear","kritzeln","kritzelt","kritzelte","hat gekritzelt",""
"coronar","krönen","krönt","krönte","hat gekrönt",""
"abrazar","kuscheln","kuschelt","kuschelte","hat gekuschelt",""
"besar","küssen","küsst","küsste","hat geküsst",""
"sonreír","lächeln","lächelt","lächelte","hat gelächelt",""
"reír","lachen (über)","lacht","lachte","hat gelacht",""
"paralizar, inmovilizar","lähmen","lähmt","lähmte","hat gelähmt",""
"dejar","lassen","lässt","ließ","hat gelassen",""
"acechar","lauern","lauert","lauerte","hat gelauert",""
"correr","laufen","läuft","lief","ist gelaufen",""
"vivir","leben","lebt","lebte","hat gelebt",""
"lamer","lecken","leckt","leckte","hat geleckt",""
"colocar tumbado","legen","legt","legte","hat gelegt",""
"enseñar","lehren","lehrt","lehrte","hat gelehrt",""
"sufrir","leiden","leidet","litt","hat gelitten",""
"prestar","leihen","leiht","lieh","hat geliehen",""
"afford","liesten (sich)","leistet","leistete","hat geleistet",""
"guiar, dirigir","leiten","leitet","leitete","hat geleitet",""
"steer, dirigir","lenken","lenkt","lenkte","hat gelenkt",""
"aprender","lernen","lernt","lernte","hat gelernt",""
"leer","lesen","liest","las","hat gelesen",""
"amar","lieben (akk)","liebt","liebte","hat geliebt",""
"yacer, tumbado","liegen (an)","liegt","lag","hat gelegen",""
"alabar","loben","lobt","lobte","hat gelobt",""
"valer la pena","lohnen (sich)","lohnt","lohnte","hat gelohnt",""
"eliminar","löschen","löscht","löschte","hat gelöscht",""
"aflojar, resolver","lösen","löst","löste","hat gelöst",""
"mentir","lügen","lügt","log ","hat gelogen",""
"hacer","machen","macht","machte","hat gemacht",""
"segar, podar","mähen","mäht","mähte","hat gemäht",""
"moler, triturar","mahlen","mahlt","mahlte","hat gemahlen",""
"recordar","mahnen","mahnt","mahnte","hat gemahnt",""
"pintar","malen","malt","malte","hat gemalt",""
"evitar","meiden","meidet","mied","hat gemieden",""
"to mean, opinar","meinen","meint","meinte","hat gemeint",""
"informar","melden (sich)","meldet","meldete","hat gemeldet",""
"ordeñar","melken","melkt","melkte","hat gemelkt",""
"notar, memorizar","merken (sich)","merkt","merkte","hat gemerkt",""
"medir","messen","misst","maß","hat gemessen",""
"alquilar, contratrar","mieten","mietet","mietete","hat gemietet",""
"mezclar","mischen","mischt","mischte","hat gemischt",""
